MESSAGE_ID,THEMES,TOPICS
2005,Concern for loved one's well-being and communication,"['Crossing the border', 'Lack of contact with a daughter', 'Worry and anxiety']"
2006,Humanitarian Assistance,"['Accommodation', 'Meals', 'Bed', 'Clothes', 'Shelter', 'Refugees', 'Official and administrative matters']"
2007,Humanitarian assistance and concern for refugees,"['Accommodation for refugees', 'Securing food and clothing for refugees', 'Assistance with official and administrative matters for refugees', 'Need for contact points and referrals for refugees', 'Concern for the actions of Putin', 'Hope for de-escalation and prayers']"
2016,Travel,"['Budapest', 'Warsaw']"
2018,Humanitarian Assistance,"['Shelter and Housing Support', 'Material Needs']"
2020,Military Aid,"['Medical Kits', 'Humanitarian Assistance', 'Ukrainian Military']"
2022,Assistance and support,"['Problem-solving', 'Free transportation', 'Relocation to Berlin', 'Finding a cheaper way']"
2023,Housing needs for refugees,"['Contact person for housing assistance', 'Housing for a girl with two young children']"
2046,Border crossing experience,Polish border crossing
2047,Communication,"['Transportation', 'Help/Assistance']"
2062,Block and Ban,"['censorship', 'restriction', 'prohibition']"
2063,Security and Identity,"['Biometric passport', 'Application', 'Physical passport', 'Explosion']"
2064,Uncertainty and concern,"['Fire accident', 'Location']"
2065,Social and geographical analysis,Kyiv region
2067,Hope,Inclusion
2068,Emotional expression,Hope
2069,Comparison of military pay between countries,"['Military pay', 'Poland']"
2071,Migration and Family Support,"['Border-crossing', 'Meeting relatives', 'Settling', 'Travel to Kiev']"
2072,Transportation details,"['Lviv-Warsaw journey', 'Minivan seats', 'No animals and minimum luggage', '250 zlotys per seat']"
2073,Humanitarian Support,Ammunition Shortage and Volunteer Assistance
2074,transportation,['transport']
2077,Uncertainty,Preparation
2078,neutral,['affirmation']
2079,Gratitude,Expressing thanks
2080,Request for assistance,Product information and help
2081,war,
2083,Help for those affected by war,"['war', 'help', 'affected']"
2084,Seeking help,"['Requests', 'Assistance']"
2086,Financial hardship and lack of support,"['asking for help', 'being alone with the child', 'lack of financial support']"
2090,Unclear intent or purpose of the text,['Sharing or spreading something']
2092,Desperation and Helplessness,"['Loneliness', 'Parenting', 'Food Insecurity']"
2094,Uncertainty,"['Agreement', 'Products']"
2097,Affirmation/Agreement,Yes
2107,Family,"['Daughter Anastasia', 'Son Evgeniy']"
2109,unspecified,Кривой Рог
2111,Communication,Mailing
2116,Loss and abandonment,"['Departure of the wife', 'Absence of relatives']"
2117,Humanitarian Assistance,['Children in Need']
2121,Gratitude,['Thank you']
2126,drug use,['drug love']
2131,Accommodation of people,Polish contact for accommodation
2132,values,prioritization
2133,Gender roles and societal expectations,"['Substance abuse', 'Domestic violence']"
2136,unknown,[]
2137,Humanitarianism,"['Traveling', 'Volunteering', 'Refugees']"
2138,Communication,"['Phone call', 'Request for action']"
2140,parenthood,"['showing children', 'parenting']"
2142,geographical origin and residence,['Kryvyi Rih']
2143,Travel and navigation,Seeking directions to Warsaw
2147,Identity and Location,['Krivy Rog']
2151,Geographical origin,Ternovsky district
2152,Long-term residence in Germany,['Living in Germany']
2153,concern or worry,current situation in the mentioned place
2154,Nostalgia,Kovrov street
2157,Transportation,Traffic conditions at Lausanne and Skulen
2158,clarity,Clear
2159,Communication,"['Location', 'Travel']"
2163,Travel,"['Directions', 'Transportation']"
2164,Transportation and logistics,"['Travel plans', 'Specific locations', 'Timings', 'Seating arrangement', 'Cost']"
2167,economic exploitation,"['financial vulnerability', 'gas station scarcity']"
2177,Transportation,"['Ride sharing', 'Travel']"
2183,Fear and concern,Traveling with a little child
2204,Travel and information seeking,"['Travel from Kharkiv', 'Crossing Ukraine', 'Help and information', 'Gratitude']"
2206,Request for urgent transportation,"['Transportation', 'Urgency', 'Capacity', 'Payment', 'Dogs']"
2208,travel,"['Kyiv', 'Kharkiv']"
2214,Community and Spatial Arrangement,"['Group dynamics', 'Spatial distribution', 'Inclusion of animals']"
2215,Population and Pet Ownership,"['Number of people in Pereyaslav and Kiev', 'Number of dogs in Pereyaslav and Kiev']"
2216,Seeking assistance for transportation,['Picking up a girl from Pshemylo to Lodz']
2223,location,"['Lwowska 36', 'Przemyśl']"
2227,Event volunteering,"['Volunteer recruitment', 'Assisting visitors', 'Shift schedule']"
2231,Transportation issues,['Buses not moving in Russia']
2235,Location inquiry,Przemysl
2236,travel,"['places', 'Berlin']"
2237,Location of meeting points,Meeting points
2240,Uncertainty,Occupation
2246,Request for assistance in migration,"['Help needed', 'Migration', 'Family']"
2259,Humanitarian aid,Collecting humanitarian aid in Krakow
2265,Unclear message or instructions,"['pick up', 'return back two things']"
2267,Rights,There are rights
2271,Travel,"['Lviv', 'Border']"
2272,Humanitarian Assistance,Medical Mission to Vienna
2274,Transportation,"['Carpool', 'Passengers']"
2278,Communication breakdown and frustration at the pedestrian border,"['Drivers', 'Aid stations', 'Volunteers', 'Customs buildings']"
2284,Dehumanization,Not considering someone as human
2286,Humanitarian assistance,"['Help', 'send', 'two women', 'breastfeeding child', 'Lviv', 'border']"
2304,Communication and Community Support,Queue status and Volunteers in Smilnytsia District
2325,Travel,Transportation from Kharkov to Poland
2327,Border Crossings,Situation
2328,Uncertainty,"['Transportation', 'Nighttime']"
2329,Border crossing restrictions,"['Crossing by car', 'No pedestrian crossing']"
2330,Borders and differences,"['Borders', 'Differences']"
2331,Logistics and Transportation,Border crossing and transportation
2332,Humanitarian assistance,"['Emergency relocation', 'Help needed', 'Child welfare']"
2334,Humanitarian assistance,"['Migration', 'Family support']"
2341,Transportation difficulties,"['Traveling from Budapest to Warsaw', 'Lack of available flights, trains, or buses']"
2343,Uncertainty,"['People being taken to the border', 'Drohobych']"
2347,Travel,"['Transportation options: train or bus', 'Destination options: Krakow-Frankfurt or Baden Baden Germany', 'Uncertainty about availability', 'Inquiring about current availability']"
2348,Appeal for help and assistance,"['Lonely young mother', 'Urgent need', 'Lack of relatives', 'Gratitude', 'Bank account information', 'Religious sentiment', 'National pride']"
2349,Accommodation rental,"['Accommodation', 'Renting', 'Warsaw']"
2350,Youth,['Girls']
2351,Travel,Planning a trip to Germany
2356,Uncertainty/Postponement,"['We', 'today']"
2361,Youth,"['age', 'youth']"
2366,Disregard and disrespect,"['Nonsense', 'Fuss', 'Old women']"
2367,Emergency accommodation request,Shelter for families in Krakow
2368,humanitarian assistance,"['Warsaw', 'Lodz', 'finances', 'products', 'work']"
2370,Request for assistance,"['Request', 'Assistance']"
2374,Negative tone and dismissiveness,"['Time', 'Communication']"
2375,Gender identity and aggression,"['Aggressive behavior', 'Gender identity']"
2376,Emotional response to the dynamic of assistance and identification,"['Helping others', 'Identity recognition', 'Shock', 'Anger']"
2377,self-identity,gender
2378,Unity and cohesion,"Arguments, affiliation, and equality"
2381,Social unrest and frustration due to illness and lack of clarity,"Anger, sickness, confusion, frustration"
2382,Negative Remarks,"['Nonsense', 'Curing oneself', 'Being cunning']"
2385,motivation,personal contribution
2386,Healing,self-care
2388,Switching attention,Attention
2392,Disengagement,"['lack of interest', 'ignoring conversation']"
2393,Insanity,Blocking an insane person
2397,Medical emergency,Patient removal
2410,Transportation and travel,"['Przemysl', 'Medyka border crossing']"
2411,Location,['Warsaw']
2414,Immigration,Dogs without documents
2415,uncertainty,"['heard', 'what']"
2417,affirmation,"['agreement', 'consent']"
2419,Travel and Transportation,"['Tickets', 'Warsaw-Berlin train']"
2420,Uncertainty,['Lack of knowledge']
2421,Animals,Document retrieval
2423,Travel,"['Time', 'Activity']"
2424,Opportunity,Free Tickets
2425,Requests for information,"['Volunteer centers', 'Addresses', 'Contacts', 'Sopot', 'Gdansk']"
2426,Vaccinations and border control,"['Vaccinations', 'Polish border']"
2429,Assistance for crossing the border with special needs,"['Border crossing from Lviv', 'Help for women with children', 'Assistance for people with disabilities']"
2432,Travel and Transportation,"['Crossing the border', 'Driving by car', 'Long driving time']"
2443,presence of admins,admin support
2444,unknown,[]
2452,Logistics and Assistance,"['Retrieving the wife from Katowice to Lodz', 'The presence of one girl in Katowice in 2 hours']"
2457,Humanitarian Assistance,"['Facebook group', 'housing offers', 'Germany', 'Ukrainian refugees']"
2461,Transportation and Communication,"['Location inquiry', 'Waiting time']"
2462,border costs,"['Poland', 'car travel']"
2464,Transportation,['Traveling from Warsaw to Przemyśl or the Medyka border crossing']
2465,Inclusion and acceptance,"['Immigration', 'Documentation']"
2484,Migration,"['Border crossing', 'Wait in line']"
2485,Border points,"['Queues', 'Information', 'Situation']"
2486,language barrier,Turkish
2489,Encouragement,['Cheering up']
2495,Transportation,"['Finding help', 'Traveling from Katowice to the border']"
2503,Frustration with spam,Spamming and seeking genuine help
2504,Uncertainty,"['Traveling through Yagodin', 'Time perception']"
2505,Transportation and travel,Getting to Poland with children
2506,Language,Polish
2514,Communication,Babbling
2518,inquiry,specific question
2520,Advertisement,Flat rental in Warsaw
2521,Gratitude,['Thank you']
2522,Possibility of renting a car in Warsaw from someone,Car rental in Warsaw
2523,Incomplete information,Numbers
2525,Family and companionship,"['Number of individuals', 'Pet ownership']"
2529,Travel,Transportation
2531,Transportation,['Trains in Poland and Germany']
2533,Gratitude,Thank you
2535,Accommodation request,Help with accommodation for 4 people
2537,"Psychological stress, shock, and fear in the face of a dangerous situation","['Stampede at the train station', 'Safety concerns and the need to find a secure place', 'Ukrainian patriotism']"
2539,Communication and social interaction,Contacts and interaction in a queue
2542,Travel arrangements,"['Bus tickets', 'Cross-border travel', 'Poland', 'Mother with two children']"
2543,Humanitarian Assistance,"['Transportation', 'Volunteer']"
2548,Business and Services,"['Ukraine', 'services']"
2549,Local assistance in Poland,help on any topic
2551,Travel and transportation,['Traveling from Poltava to Lviv']
2553,Love,
2556,Call for Assistance,"['Travel', 'Volunteer']"
2560,Uncertainty,"['Przemyśl - Grudziądz', 'going', '4 people']"
2562,Settlement options,"['Konin', 'Strzałkowie']"
2567,Transportation and logistics,Travel restrictions and international borders
2568,Humanitarian situation and support for refugees in Ukraine,Refugees in Ukraine
2569,procedures in Poland,['procedures']
2571,General procedure for consulting 70-year-old amount,"Procedure, consultation, 70-year-old amount"
2572,Migration and refugee support,"['Refugees in Germany', 'Humanitarian aid', 'Integrating refugees', 'German immigration policies']"
2574,Travel arrangement,"['Hotel checkout', 'Reservation modification']"
2575,Logistical information inquiry,"['Queues in Hrusheve, Lviv region', 'Waiting time at the borders between Ukraine and Poland']"
2578,Gratitude,Thankfulness
2579,Travel,"['Delay', 'Transportation']"
2580,Hospitality and support,"['Offering accommodation on a farm', 'Availability of food and clothing', 'Transportation assistance']"
2582,Gratitude,Words of appreciation
2583,Transportation assistance,"[""Ukrainian driver's license"", 'passenger transport']"
2597,Refugee registration process,Registration points in Warsaw
2599,Seeking accommodation,"['Krakow', 'Family', 'Hosting', 'Mother', 'Grandmother', 'Girlfriend', 'Child', 'Contacts']"
2604,Transportation and Border Security,Transporting individuals from Gdansk to the border
2610,Humanitarian assistance and volunteering,"['Travel request', 'Transportation', 'Volunteer']"
2613,Humanitarian support and transportation,"['Transportation request', 'Volunteer assistance']"
2615,Neutral,['Greeting']
2616,Refugee reception points,Krakow
2619,Refugee status and decision-making process,"['Processing refugee status', 'Restrictions on leaving the country', 'Inability to return to Ukraine', 'Waiting period without a visa', 'Decision-making']"
2620,Refugee registration process in Poland,Passport requirement
2622,Travel regulations,Ukrainians' stay in Europe
2625,Caregiving and responsibility,"['Intention', 'Mother', 'Traveling', 'Weary']"
2627,Accommodation,Budget accommodation in Krakow
2628,negation or disagreement,opposing or denying a statement
2629,Request for assistance,['Talking to border guards']
2632,Security and Travel,"['Passports', 'Border Guards']"
2633,Freedom of movement and identification,Passport requirement
2635,Transportation,"['Airport pickup', 'Travel arrangements', 'Seeking help']"
2640,Refugee and immigration issues,"['Surrendering passport', 'Finding accommodation without refugee status']"
2642,Recognition of special documents,['special documents']
2643,Refugees,['Refugee status']
2644,Restriction of movement,Living in Poland
2646,Uncertainty,Duration of absence
2648,uncertainty and bureaucracy in obtaining refugee status,"['refugee status', 'obtaining refugee status']"
2649,refugee status and international travel,"['refugee status', 'France', 'Poland', 'biometric passport']"
2650,Uncertainty and Resolution,"['90 days limit in Germany', '180 days limit in Euro']"
2651,duration of the situation,difficult situation
2652,Unknown,[]
2653,Official documentation,Content of official documents
2654,complex situation,"['situation', 'complex']"
2655,Knowledge and authority of border guards,"['Border guards', 'Knowledge']"
2656,Travel and Transportation,"['Lviv', 'Zosin train station', 'border crossing', '150 zloty per seat', '4 seats left']"
2657,Positive perception of police in Poland,Police assistance in Poland
2658,Refugee status and staying in Europe,Duration of stay in Europe
2659,Uncertainty,Travel restrictions
2660,Undefined,[]
2661,approval,thumbs up
2662,Border regulations and restrictions for travelers,"['Border crossing in Poland', 'Biometric identification', 'Maximum stay duration']"
2663,Numbers and Quantities,"['Germany', '180']"
2666,Limited duration of refugee status and restrictions on leaving the country,"['Refugee status for 15 days', 'Compulsory return', 'Restrictions on leaving the country']"
2670,Lack of necessary documentation,"['Article reading', 'Passport requirement']"
2671,Language preference,Ukrainian
2672,Emotional distress,Inability to stay for three months
2676,Humanitarian support,Clothing donation for refugees
2677,Excitement,Expression of astonishment
2678,Positive sentiment,Good
2680,Travel,"['Kiev', 'journey']"
2681,Borders and Crossings,['Ukrainian border']
2684,Emotions and Affection,"['Flowers', 'Happiness', 'Love']"
2686,Immigration and Refugees,Biometrics and Passport Control
2687,unclear,"reading, presence"
2691,Travel,"['Chisinau', 'Warsaw']"
2696,Assistance for overnight stays and accommodation in Warsaw,"['Contacts', 'Addresses', 'Acceptance for overnight stays', 'Assistance', 'First time in Warsaw', 'Accommodate', 'Women', 'Minors']"
2697,,[]
2708,Request for assistance,Help with finding contacts in Warsaw
2731,Travel,"['Planning', 'Transportation', 'Itinerary']"
2744,Request for assistance,Renting an apartment or house in Lublin
2745,Migration and Border Control,"['Refugee status', 'Ukrainian-Polish border', 'Attack']"
2752,Social media influencer,Kasia Ovsiuk's Instagram profile
2757,Human trafficking awareness,Border safety
2758,Humanitarian Crisis in Ukraine,"['refugees', 'Ukraine']"
2762,humanitarian support for refugees,['refugees in Poland']
2763,Humanitarian support for refugees in Germany,Refugees in Germany
2767,Assessment of text,"['Provision of services in Poland', 'Special centers for packing belongings']"
2773,Logistics and Request,"['People in Krakow', 'Transportation of things to a woman']"
2774,Transportation and Travel,"['Border crossing', 'Passenger car']"
2779,Instructions,Distribution
2782,Transportation,"['Flixbus', 'Polish border', 'Free buses']"
2787,Unidentified,731762537
2788,Crossing borders and residency,"['Border crossing procedures', 'Internal passport', 'Residence permit', 'Working rights']"
2790,Medical assistance for refugees from Ukraine,"['Free medical assistance', 'Refugees from Ukraine']"
2796,Refugee visa application process in the USA,"['Obtaining a refugee visa', 'Advise on the refugee visa process in the USA']"
2797,Assistance for Ukrainian refugees,['Help points']
2800,expressing gratitude,thank you
2803,Access to telecommunication services for migrants,Provision of free SIM cards for calls home to Ukrainian migrants in Poland
2804,uncertainty and questioning,"['transition country', 'citizenship']"
2805,Disapproval and frustration,"['Visa application', 'Destination to the USA', ""Disregard for others' situations""]"
2807,Time,Seconds
2809,Conflict and displacement,"['Living in Kyiv', 'Insecurity and shelling', 'Desire to leave for the USA']"
2819,negative emotions,"['profanity', 'frustration']"
2820,Lack of information,Unknown information
2824,Emotion,Nervousness
2825,information request,information
2826,positivity,
2833,Housing support for a family with two children,"['Homeless family', 'Need for assistance', 'Geographical location: Ozarow Mazowieski']"
2834,Legalities and rights,"Power of attorney, Minimum age requirement"
2835,Transportation information in Warsaw,"['Transportation applications', 'Movement of transportation']"
2846,Travel and Geography,"['Crossing borders', 'Slovakia', 'Poland']"
2847,Gratitude and Kindness,"['Border Crossing Experience', 'Volunteer Assistance']"
2848,limited transportation options,transportation from Slovakia
2849,Gratitude,Thankfulness
2850,uncertainty,"['border', 'city', 'transportation']"
2852,individuality,"['perspective', 'diversity']"
2853,Politeness,Response message
2857,Travel and Communication,"['Looking for someone going to Berlin', 'Location: Krakow with a friend']"
2858,Urgent transportation request,"['Transportation', 'Urgency']"
2862,Uncertainty/emotion,What happened
2863,Transportation,Free trains from Poland to Germany
2864,Everyday tasks and activities,"House painting, writing"
2865,emotion,surprise
2866,The general theme of the text is unclear.,[]
2867,Lack of experience/understanding,['Pedestrian crossing']
2868,Nationality-based discrimination,Free train service for Ukrainian people
2870,Consumer inquiry,['Buying a power bank in Kiev']
2871,The theme of the text is the negative impact of war on innocent people.,"['war', 'innocent people']"
2872,Political unrest and conflict,"['Protests', 'Government crackdown', ""Citizen's rights""]"
2873,Transportation and Volunteerism,"['Travel from Lublin to Przemyśl', 'Seats for volunteers']"
2879,negative emotions,exclamation
2881,Advertising or promotion,Telegram channel
2882,Urgent request for help in transporting people and children,"['Travel from Lutsk to Ustyluh', 'Request for assistance on Viber']"
2890,Humanitarian Assistance,['Location of humanitarian aid warehouses in Warsaw']
2893,Access to services for refugees,"['Status issuance', 'Wait time', 'Hospital services', 'Free first aid']"
2894,Gratitude,Thank you
2895,travel and seating arrangements,"['someone abroad', '2 seats']"
2896,positive decision,Foreigners Affairs Office - Website
2897,Information sharing and reference,Link and details
2898,action,['check']
2901,Communication and information exchange,"['Availability of goods', 'Location-based access']"
2902,Transportation request,"['Opole', 'women', 'transport', 'call', '690645248', 'Tesco', 'Przemysl']"
2903,Sense of proximity or closeness,Nearness to the speaker
2904,Humanitarian Support,Financial Assistance
2905,request for information,['Pereolu borders']
2907,Travel and Legal Issues,"['Driving to Moldova', 'Vehicle Registration', 'Borders']"
2908,Transportation,Travel route
2909,humanitarian assistance,"['Waiting for information', 'Krakow', 'helping Ukrainians']"
2913,Infrastructure,"['Road condition', 'Highway development']"
2916,Transportation,['Train ticket availability']
2917,Lost and found,Black backpack with documents
2920,Positive,Free travel on all trains
2921,Social Etiquette,"['Bypassing queue', 'Pedestrian access']"
2922,Perception of pedestrians on cameras,"['Size of pedestrian', 'Visibility on cameras']"
2923,uncertainty,"['recent events', 'unknown individuals']"
2925,Transportation,Carpooling
2928,Request for contact information,"[""Volunteer's phone number""]"
2930,Travel recommendation,Carrier from Lviv to Medyka
2931,Travel plans,"['Poltava', 'Lviv']"
2934,Uncertainty and concern,"['Loss of documents', 'Possibility of going alone', 'Being 17 years old']"
2935,Immigration and undocumented migration,"['Letting go', 'Being taken without documents']"
2936,Gratitude,Expression of thanks
2949,Housing assistance request,"['Krakow', 'Wroclaw', 'Katowice', '300-400 euros per month']"
2952,Travel,"['Transportation', 'Family', 'Border Crossing']"
2955,Financial difficulties and gratitude for help,"Financial need, gratitude"
2959,Language and Communication,Language preference
2961,lack of understanding,reason
2962,Exclusion/Isolation,Blocked from Writing Group
2963,Assistance with family reunification,"['seeking help', 'bringing relatives', 'Kharkiv']"
2964,risk and concern,"['hailstorm', 'suicide']"
2965,Safety and Security,"['Sheltering', 'Military equipment', 'Local authorities']"
2967,Gratitude,Thank you
2968,national identity and solidarity,Ukrainian Struggle Centre
2972,Emergency Assistance,"['Locating someone from the Krakowiec area', 'Transportation for a person with their dog']"
2983,Transportation,Travel from Krakow to Vienna
2994,Transportation,Traveling from Krakow to Vienna
2995,positive,thumbs-up
3000,Friendship and social connections,Existence of friends in the town of Hosťin
3001,Transportation,"['ride', 'Perepeshlyan', 'Budomezh', 'number']"
3002,Humanitarian support and aid,Collecting humanitarian aid
3003,Request for help,Assistance
3004,Country,Ukraine
3011,humanitarian assistance,Points of assistance for Ukrainian refugees
3022,Urgency and need for transportation,Looking for a car for 4 people and 1 dog to Khmelnytsky region
3024,confusion or absurdity,"['bananas', 'ears', 'drone']"
3025,Communication and support for immigrants,['SIM card with free calls home for immigrants from Ukraine']
3026,emotions,anger
3027,Collaboration and support,"['help', 'group', 'each other']"
3028,Negative Emotion,"['Anger', 'Disrespect']"
3029,Conflicting priorities,"['Animal welfare', 'Humanitarian aid']"
3030,Request for assistance,"['Accommodation', 'Transportation', 'Pets']"
3035,Communication,"Thankfulness, Departure, Repetition"
3038,Gratitude,Thank you
3043,attachment to pets,"['dog as a child', 'dependence on the dog', 'having multiple dogs']"
3051,Transportation,"['Number of people', 'Travel route']"
3061,Unable to determine,[]
3063,urgent request for transportation,"['car', '4 people', '1 dog', 'Khmelnytskyi Oblast']"
3068,Transportation Inquiry,"['Przemyśl to Warsaw', 'Transportation for 1 person']"
3071,Transportation,Travel options from Krakow to Wroclaw
3079,Humorous comparison between attitude towards a cat and attitude towards humans,"['attitude towards pets', 'attitude towards humans']"
3080,international negotiations and conditions for cessation of hostilities,"['demand for recognition of Crimea as part of Russia', 'demand for independence of DNR and LNR']"
3082,Uncertainty,Self-awareness
3083,Economic condition,Exchange rate in Russia
3087,materialism,"['money', 'ass']"
3088,Financial currency,Rubles
3090,Uncertainty,['channel identification']
3092,emotional appeal for assistance,request for help
3095,General response,Okay
3110,The text discusses the topic of motherhood.,Mother
3161,Positive Assessment,Russia
3165,humanitarian appeal,"['request for help', 'collecting funds for porridge and diapers']"
3172,Humanitarian support for the Rivne military,"['Bulletproof vests shortage', 'Delivery from Poland', 'Volunteer assistance']"
3178,Travel,"['Border crossing', 'Transportation', 'Destination']"
3185,Uncertainty and inquiry,Location near the Ugryniv border
3187,Visa regulations and entry requirements,"['Entering Poland without a visa', 'Duration of stay', 'Corridor']"
3188,Urgency and seeking assistance,"['Travel to Lutsk', 'Travel to Ustyluh', 'Travel to Yahodyn', 'Seeking help on Viber']"
3193,Transportation and travel,"['Striy', 'border', 'Krakow', 'person']"
3196,Humanitarian assistance and transportation,Ugriniv border crossing
3197,Travel plans,Transportation route
3198,Accommodation search,"['Accommodation', 'Number of people', 'Gender', 'Pets', 'Location']"
3200,Logistics and Border-crossing,Accommodation for 3 women and 1 child
3205,Border control measures,Exempting women and children from searches
3209,Accommodation offer,"['Free accommodation', 'Location', 'Contact']"
3210,Travel,"['Ticket', 'Krakow', 'Vienna']"
3211,Migration and travel,"['Leaving Ukraine', 'Requirements for leaving Ukraine']"
3212,Possibility and Feasibility,Child development
3213,Travel and Migration,"['Crossing borders', 'Visa requirements']"
3214,Youth age,['Age']
3215,Disability,27-year-old with a disability
3217,Mental health and coping,Coping with mental challenges
3218,Disability as an exception,['disability']
3219,Humanitarian aid collection points for Ukrainians in Warsaw,Addresses
3223,Border crossing requirements for individuals without passports,"['Passport', 'Grandmother', 'Ukrainian passport', 'Border crossing']"
3224,affirmation,positive response
3225,Anticipation of the war's conclusion,"War, Grandma"
3226,Hope and optimism,Victory
3228,unclear,None
3229,Financial distress and plea for assistance,"['Lack of money for food', 'Request for financial help']"
3230,Promises of support and assistance,"['sign up', 'fed', 'settled somewhere to live', 'given everything necessary']"
3231,humanitarian assistance,"['transportation', 'shelter', 'sanitation', 'support for women and children']"
3233,Gratitude and appreciation,Support and encouragement
3236,Settling in Poland as a refugee or not,"['Information on settling in Poland', 'Working in Poland']"
3238,Legal restrictions on refugees' ability to work,Refugee status and employment limitations
3240,Travel,"['Leaving', 'Warsaw']"
3241,Requirements at the border,['Documents']
